Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	900
Conversion Gain:	1024
Coarse Gain:	16
Fine Gain:	1.89
Upper Discriminator:	1042
Lower Discriminator:	12
Calibration Coefficients:	-1.892405063291136	0.9968354430379747
Calibration Channels:	195	319
Calibration Energies:	511.0	835.0
Elapsed Real Time:	299.55
Elapsed Live Time:	282.59
Start Time:	February 17, 2015, 02:49:08
End Time:	February 17, 2015, 02:54:08
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
119	116.73101265822785	259
120	117.72784810126582	280
121	118.7246835443038	283
122	119.72151898734177	263
123	120.71835443037975	280
124	121.71518987341773	248
125	122.7120253164557	262
126	123.70886075949367	285
127	124.70569620253164	303
128	125.70253164556962	317
129	126.6993670886076	300
130	127.69620253164558	334
131	128.69303797468353	326
132	129.68987341772151	306
133	130.6867088607595	327
134	131.68354430379748	348
135	132.68037974683546	336
136	133.6772151898734	362
137	134.6740506329114	334
138	135.67088607594937	344
139	136.66772151898735	364
140	137.66455696202533	369
141	138.66139240506328	401
142	139.65822784810126	385
143	140.65506329113924	388
144	141.65189873417722	411
145	142.6487341772152	362
146	143.64556962025316	390
147	144.64240506329114	432
148	145.63924050632912	462
149	146.6360759493671	451
150	147.63291139240508	460
151	148.62974683544303	479
152	149.626582278481	508
153	150.623417721519	482
154	151.62025316455697	501
155	152.61708860759495	551
156	153.6139240506329	605
157	154.61075949367088	566
158	155.60759493670886	566
159	156.60443037974684	593
160	157.60126582278482	567
161	158.59810126582278	546
162	159.59493670886076	630
163	160.59177215189874	638
164	161.58860759493672	631
165	162.58544303797467	660
166	163.58227848101265	676
167	164.57911392405063	677
168	165.5759493670886	678
169	166.5727848101266	674
170	167.56962025316454	664
171	168.56645569620252	704
172	169.5632911392405	689
173	170.56012658227849	648
174	171.55696202531647	663
175	172.55379746835442	631
176	173.5506329113924	679
177	174.54746835443038	674
178	175.54430379746836	678
179	176.54113924050634	680
180	177.5379746835443	624
181	178.53481012658227	605
182	179.53164556962025	615
183	180.52848101265823	595
184	181.5253164556962	561
185	182.52215189873417	554
186	183.51898734177215	546
187	184.51582278481013	552
188	185.5126582278481	507
189	186.5094936708861	506
190	187.50632911392404	474
191	188.50316455696202	444
192	189.5	442
193	190.49683544303798	444
194	191.49367088607596	430
195	192.4905063291139	423
196	193.4873417721519	415
