Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	900
Conversion Gain:	1024
Coarse Gain:	2
Fine Gain:	1.40
Upper Discriminator:	2861
Lower Discriminator:	53
Calibration Coefficients:	1.8603266733655454E-4	2.5180265654667426	18.091342039745996
Calibration Channels:	193	317	482
Calibration Energies:	511.0	835.0	1275.0
Elapsed Real Time:	130.24
Elapsed Live Time:	129.93
Start Time:	February 12, 2015, 03:50:13
End Time:	February 12, 2015, 03:52:24
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	768	1008	3	3	0	2159

Channel Data:
Channel	Energy	Counts
275	724.6173680104271	40
276	727.2378985755963	43
277	729.8588012061002	42
278	732.4800759019388	31
279	735.1017226631119	35
280	737.7237414896198	35
281	740.3461323814624	43
282	742.9688953386395	33
283	745.5920303611515	36
284	748.215537448998	40
285	750.8394166021792	35
286	753.4636678206953	30
287	756.0882911045458	45
288	758.713286453731	38
289	761.338653868251	39
290	763.9643933481055	31
291	766.5905048932949	31
292	769.2169885038188	48
293	771.8438441796774	33
294	774.4710719208708	45
295	777.0986717273987	40
296	779.7266435992615	19
297	782.3549875364587	39
298	784.9837035389907	42
299	787.6127916068574	35
300	790.2422517400587	37
301	792.8720839385948	42
302	795.5022882024654	36
303	798.1328645316707	43
304	800.7638129262108	38
305	803.3951333860855	34
306	806.026825911295	34
307	808.6588905018389	40
308	811.2913271577177	32
309	813.9241358789311	35
310	816.5573166654791	38
311	819.1908695173618	37
312	821.8247944345793	40
313	824.4590914171313	38
314	827.0937604650181	36
315	829.7288015782395	29
316	832.3642147567956	42
317	835.0000000006864	22
318	837.6361573099118	27
319	840.2726866844721	28
320	842.9095881243668	27
321	845.5468616295963	40
322	848.1845072001605	35
323	850.8225248360593	38
324	853.4609145372929	35
325	856.099676303861	33
326	858.7388101357637	27
327	861.3783160330013	44
328	864.0181939955735	26
329	866.6584440234803	24
330	869.2990661167219	39
331	871.940060275298	25
332	874.581426499209	34
333	877.2231647884545	23
334	879.8652751430346	36
335	882.5077575629497	37
336	885.1506120481992	33
337	887.7938385987835	34
338	890.4374372147023	29
339	893.0814078959559	31
340	895.7257506425442	35
341	898.3704654544671	43
342	901.0155523317248	36
343	903.661011274317	31
344	906.3068422822439	35
345	908.9530453555057	30
346	911.5996204941019	24
347	914.2465676980329	25
348	916.8938869672985	32
349	919.5415783018988	37
350	922.1896417018339	28
351	924.8380771671035	28
352	927.4868846977079	27
353	930.1360642936469	35
354	932.7856159549206	38
355	935.435539681529	21
356	938.0858354734719	26
357	940.7365033307497	23
358	943.3875432533621	26
359	946.038955241309	25
360	948.6907392945909	19
361	951.3428954132072	40
362	953.9954235971583	34
363	956.6483238464441	20
364	959.3015961610645	31
365	961.9552405410196	27
366	964.6092569863093	29
367	967.2636454969337	20
368	969.9184060728928	25
369	972.5735387141866	23
370	975.2290434208152	28
371	977.8849201927783	25
372	980.5411690300759	25
373	983.1977899327085	24
374	985.8547829006757	30
375	988.5121479339774	22
376	991.1698850326139	23
377	993.8279941965851	23
378	996.4864754258911	19
379	999.1453287205314	35
380	1001.8045540805066	17
381	1004.4641515058165	21
382	1007.124120996461	24
383	1009.7844625524403	33
384	1012.4451761737541	17
385	1015.1062618604027	18
386	1017.7677196123859	19
387	1020.4295494297038	24
388	1023.0917513123565	33
389	1025.7543252603436	30
390	1028.4172712736654	22
391	1031.0805893523222	26
392	1033.7442794963135	23
393	1036.4083417056395	30
394	1039.0727759802999	28
395	1041.7375823202951	19
396	1044.4027607256253	20
397	1047.0683111962899	20
398	1049.734233732289	17
399	1052.4005283336232	21
400	1055.0671950002918	20
401	1057.7342337322953	32
402	1060.4016445296331	28
403	1063.0694273923057	28
404	1065.737582320313	17
405	1068.4061093136552	23
406	1071.075008372332	24
407	1073.744279496343	22
408	1076.4139226856894	21
409	1079.0839379403699	25
410	1081.7543252603853	25
411	1084.4250846457353	25
412	1087.09621609642	28
